FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1002895,Cloverdale Certified Farmers Market,http://www.cloverdalefarmersmarket.com,https://www.facebook.com/pages/Cloverdale-Certified-Farmers-Market/120845221449110,,,,Cloverdale Blvd between 1st and 2nd Streets,Cloverdale,Sonoma,California,95425,05/31/2013 to 08/30/2013,Fri: 6:00 PM-9:00 PM;,,,,,,,-123.017263,38.805805,Closed-off public street,3/31/2014 20:31
1002896,Tularosa Farmers Market,,,,,,corner of bookout and central avenue,tularosa,Otero,New Mexico,88352,June to October,Sat:7:30 AM - 10:30 PM;,,,,,,,-106.0109,33.07966,,5/1/2012 0:43
1002897,North Village Arts District Farmers and Artisans Market,http://www.farmandart.com,,,,,126 North 10th Street,Columbia,Boone,Missouri,65201,,,,,,,,,-92.3263752,38.9530586,Local government building grounds,6/27/2013 12:21
1002898,Montgomery Farmers Market,http://www.montgomeryfriends.org,,,,,"Village Shopper, Rt. 206",Skillman,Somerset,New Jersey,8558,,,,,,,,,-74.6498,40.4033,,Apr 19 2010  9:59AM
1002900,Castleton Village Farmers' Market,,,,,,Main Street,Castleton,Rutland,Vermont,5735,,,,,,,,,-73.1779,43.6116,,Apr 16 2010  9:44AM
1002901,Fountain Farmers Market - City Hall,,,,,,116 S. MAIN STREET,FOUNTAIN,El Paso,Colorado,80817,06/02/2014 to 09/30/2014,Tue: 3:00 PM-7:00 PM;,,,,,,,-104.700367,38.6827,Closed-off public street,3/31/2014 17:16
1002903,Sandwich Farmers Market,http://www.sandwichfarmersmarket.com,,,,,Route 6A Village Green,Sandwich,Barnstable,Massachusetts,2563,,,,,,,,,-70.493,41.7535,,Apr 22 2010 11:25AM
1002905,Menlo Park Farmers' Market,http://www.localharvest.org,,,,,Chestnut & Menlo Avenues,Menlo Park,San Mateo,California,94025,01/01/2016 to 12/31/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-122.1841,37.450822,,7/21/2016 2:57
1002907,Joshua Tree Certified Farmers Market,http://www.joshuatreefarmersmarket.com,https://www.facebook.com/pages/Joshua-Tree-Farmers-Market/164059226980487,,,,61651 Twentynine Palms Highway,Joshua Tree,San Bernardino,California,92252,01/01/2014 to 12/31/2014,Sat: 8:00 AM-1:00 PM;,,,,,,,-116.3182535,34.1349431,Private business parking lot,4/1/2014 12:08
1002911,North Bloomington Street Farmers Market,,,,,,1215 North Bloomington(Route 23),Streator,La Salle,Illinois,61364,,,,,,,,,-88.8357,41.1328,,2009
1002912,Fresh Promises Farmers Market,http://www.thebarnatkillcreekfarm.org,,,,,9200 Kill Creek Rd,De Soto,Johnson,Kansas,66018,06/05/2013 to 09/25/2013,Wed: 4:30 PM-6:30 PM;,,,,,,,-94.955858,38.961446,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",6/12/2013 10:51
1002913,Waldo Farmer's Market,,Waldo Farmer's Market https://www.facebook.com/pages/Waldo-Farmers-Market/120803314706798,,,,308 First St.,Waldo,Sheboygan,Wisconsin,53093,01/05/2013 to 05/04/2013,Sat: 1:00 PM-4:00 PM;,06/01/2013 to 12/14/2013,Sat: 1:00 PM-4:00 PM;,,,,,-87.9449,43.675,Local government building grounds,6/11/2013 22:08
1002914,Delray Green Market,http://www.delraygreenmarket.com,www.facebook.com/DelrayGreenMarket,https://twitter.com/DelrayGreenMrkt ,,www.delraygreenmarketwordpress.com,95 NE 1st Avenue,Delray Beach,Palm Beach,Florida,33444,01/01/2013 to ,Sat: 9:00 AM-2:00 PM;,,,,,,,-80.07162,26.462504,Local government building grounds,6/17/2013 16:02
1002915,Clare Main Street Farm & Arts Market,http://www.clearlyclaremi.com,,,,,Fourth & Beech St,Clare,Clare,Michigan,48617,June to September,Thu:4:00 PM - 8:00 PM;,,,,,,,-84.770679,43.818907,Local government building grounds,5/21/2012 10:32
1002917,Bellevue Farmers Market,http://bellevuefarmersmarket.org,https://www.facebook.com/bellevueFM/,https://twitter.com/BellevueFarmMkt,,https://www.instagram.com/bellevuefarmersmrkt/,1717 Bellevue Way NE,Bellevue,King,Washington,98004,05/12/2016 to 10/27/2016,Thu: 3:00 PM-7:00 PM;,,,,,,,-122.202,47.626,,6/28/2016 18:51
1002918,Lawrence County Farmers Market,http://www.lawrencecountyillinois.com,,,,,712 12th St.,Lawrenceville,Lawrence,Illinois,62439,,,,,,,,,-87.685,38.7257,,2009
1002919,Kinoole Farmer's Market,,,,,,1990 Kinoole Street,Hilo,Hawaii,Hawaii,96720,January to December,Sat:6:30 AM - 12:00 PM;,,,,,,,-155.0701111,19.69045556,Other,6/1/2012 19:53
1002920,Piqua Community Farmers Market,http://www.piquafarmersmarket.com,https://www.facebook.com/piquafarmersmarket,,,,Spring & Ash Streets,Piqua,Miami,Ohio,45356,05/22/2014 to 09/18/2014,Thu: 3:30 PM-7:30 PM;,,,,,,,-84.238572,40.149539,Private business parking lot,4/15/2014 17:08
1002921,Paullina Farmers Market,,,,,,City Park,Paullina,O'Brien,Iowa,51046,,,,,,,,,-95.6832,42.9612,,2009
1002922,Poynette Area Farmers Market,,https://www.facebook.com/pages/Poynette-Area-Farmers-Market/125612187478803,,,,South Main Street,Poynette,Columbia,Wisconsin,53955,05/10/2014 to 09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,,-89.40309,43.389924,Local government building grounds,3/31/2014 15:54
1002923,Proctor Farmers' Market,http://www.proctorfarmersmarket.com,,,,,North 27th between Proctor and Madison,Tacoma,Pierce,Washington,98417,March to December,Sat:9:00 AM - 2:00 PM;,,,,,,,-122.489555,47.27195,Closed-off public street,5/9/2012 10:26
1002924,Osage Farmers Market,,,,,,Town & Country Plaza,Osage,Mitchell,Iowa,50461,,,,,,,,,-92.8139,43.2879,,2009
1002925,Good Earth Herbs,,,,,,5553 N. Market Street,Berlin,Holmes,Ohio,,,,,,,,,,-81.7974,40.5596,,2009
1002926,West Mall Open Air Market,http://www.dakotaflavor.com/category.asp?catid=12,,,,,41st St. & Western Ave.,Sioux Falls,Minnehaha,South Dakota,57501,,,,,,,,,-96.7511,43.5149,,2009
1002928,St. Luke's SteelStacks Farmers Market,http://www.artsquest.org/markets,,,,,101 Founders Way,Bethlehem,Northampton,Pennsylvania,18015,"Jan 12, 2012 to March 30, 2012",Thu:3:00 PM - 7:00 PM;Sat:12:00 PM - 4:00 PM;,"Aug 23, 2012 to Nov 1, 2012",Thu:3:00 PM - 7:00 PM;Thu:3:00 PM - 7:00 PM;,November to November,Thu:3:00 PM - 7:00 PM;,,,-75.367273,40.614311,Healthcare Institution,4/27/2012 18:56
1002929,Marshfield Farmer's Market,http://www.marshfieldfair.org/fm.htm,https://www.facebook.com/pages/Fans-of-the-Marshfield-Farmers-Market-Massachusetts/137254112954808,https://twitter.com/MarshfieldFM,,Instagram: @MarshfieldFM,140 Main St,Marshfield,Plymouth,Massachusetts,2050,06/03/2016 to 10/14/2016,Fri: 2:00 PM-6:00 PM;,11/11/2016 to 05/12/2017,Sat: 10:00 AM-2:00 PM;,,,,,-70.717535,42.098191,,6/27/2016 20:18
1002933,East Lake Farmers Market,http://www.elfmarket.org,https://www.facebook.com/pages/ELF-Market/101442739896056,https://twitter.com/ELFMarket,elfmarket,,2343 Hosea Williams Drive,Atlanta,DeKalb,Georgia,30317,04/15/2014 to 10/28/2014,Tue: 4:00 PM-8:30 PM;,,,,,,,-84.310406,33.750977,Other,5/12/2014 15:42
1002935,Malabar Farm Market,,,,,,Pleasant Valley Road,Lucas,Lucas,Ohio,,,,,,,,,,-82.401,40.6428,,2009
1002936,Barstow Market Festival Farmers Market,,,,,,"East Main St.,From Barstow to 2nd",Barstow,San Bernardino,California,92312,,,,,,,,,-117.023,34.8988,,2009
1002937,Kilauea Neighborhood Center (Sunshine Markets),,,,,,Kenecke off Lighthouse Road,Kilauea,Kauai,Hawaii,96754,,,,,,,,,-159.406,22.2112,,2009
1002938,Vassar Farmers Market,http://www.vassarfarmersmarket.yolasite.com/,,,,,205 S. Cass Ave.,Vassar,Tuscola,Michigan,48768,,,,,,,,,-83.5804,43.3726,,May 13 2010  3:30PM
1002940,Common Ground Farmers Market,http://riverside-farmers-market.org/,,,,,7741 Roswell Road,Atlanta,Fulton,Georgia,30350,,,,,,,,,-84.362538,33.964608,Local government building grounds,6/24/2013 15:25
1002941,Lansing - Old Town Farmers Market,http://www.oldtownmainstreet.org,https://www.facebook.com/OldTownLansing,,,,On the corner of E. Grand River Ave. and Center St.,Lansing,Ingham,Michigan,48906,06/06/2014 to 10/31/2014,Fri: 3:00 PM-7:00 PM;,,,,,,,-84.5480353,42.7464742,Private business parking lot,5/12/2014 14:50
1002943,Ceres Farmer's Market,http://www.cerespartnership.org,,,,,2921 Third Street,Ceres,Stanislaus,California,95307,,,,,,,,,-120.955,37.5913,,May 12 2010  2:22AM
1002944,Corn on the Curb Farmers Market,,,,,,224 West Crawford St.,Findlay,Hancock,Ohio,45840,,,,,,,,,-83.6525,41.0378,,2009
1002945,West Racine Farmers Market,,,,,,3100 Washington Ave.,Racine,Racine,Wisconsin,53406,,,,,,,,,-87.8182,42.7173,,Apr 15 2010  4:19PM
1002946,Downtown Farmers Market - Racine,,,,,,Corner of State and Erie St.,Racine,Racine,Wisconsin,53406,,,,,,,,,-87.7881,42.7311,,Apr 15 2010  4:15PM
1002947,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,,,,,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,,,,,,,,,-98.4866,45.4631,,2009
1002948,Crossroads Farmers Market,,,,,,111West B. St.,Shoshone,Lincoln,Idaho,83352,June to October,Thu:2:00 PM - 6:00 PM;,,,,,,,-114.408488,42.933364,Local government building grounds,5/23/2012 16:59
1002950,Menominee Historic Downtown Farmers Market Association-Summer,http://www.menomineefarmersmarket.com,https://www.facebook.com/menomineefarmersmarket,https://twitter.com/MenoFarmMarket,,www.realtimefarms.com/market/menominee-historic-downtown-farmers-market,1st Street & 8th Ave,Menominee,Menominee,Michigan,49858,06/14/2014 to 10/04/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-87.603768,45.106008,,3/23/2015 16:25
1002951,Menominee Historic Downtown Farmers Market Association,http://www.menomineefarmersmarket.com,https://www.facebook.com/MenomineeFarmersMarket,https://Twitter.com/MenoFarmMarket,http://www.realtimefarms.com/market/menominee-historic-downtown-farmers-market,www.RealTimeFarms/MenomineeHistoricDowntown,905 10th Street,Menominee,Menominee,Michigan,49858,10/04/2014 to 05/30/2015,Sat: 8:00 AM-12:00 PM;,,,,,,,-87.614851,45.107015,,3/23/2015 16:20
1002952,Nodaway County Farmers' Market,,,,,,"Marymart Shopping Center, Main St in Maryville MO",Maryville,Nodaway,Missouri,64468,,,,,,,,,-94.8739,40.3317,,2009
1002953,Cayucos Farmers Market,,,,,,Vets Hall  Parking Lot,Cayucos,San Luis Obispo,California,93430,,,,,,,,,-120.912,35.4454,,2009
1002956,Vintage Certified Farmers Market,,,,,,Holmen Rd & Hammer ln.,Stockton,San Joaquin,California,,,,,,,,,,-121.271,38.0212,,2011
1002958,Upper Merion Farmers Market,http://www.uppermerionfarmersmarket.org/,https://www.facebook.com/umfarmersmarket,https://twitter.com/umfarmersmarket,www.youtube.com/umfarmersmarket,,175 W. Valley Forge Road,King of Prussia,Montgomery,Pennsylvania,19406,05/21/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,12/03/2016 to 05/06/2017,Sat: 10:00 AM-12:00 PM;,,,,,-75.371996,40.10146,,6/27/2016 16:55
1002959,Ravinia Farmers Market,http://www.raviniafarmersmarket.com,,,,,Dean Ave. (Between St. John's & Roger Williams Ave,Highland Park,Lake,Illinois,60035,06/04/2014 to 10/29/2014,Wed: 7:00 AM-1:00 PM;,,,,,,,-87.7816,42.165,Closed-off public street,3/31/2014 22:23
1002961,Oskaloosa Farmers Market I,http://www.hawkeye-re.com/farmersmarket/index.htm,,,,,East side of Town Square,Oskaloosa,Mahaska,Iowa,52577,,,,,,,,,-92.6419,41.2946,,Apr 16 2010  4:41PM
1002962,Oskaloosa Farmers Market II,http://www.hawkeye-re.com/farmersmarket/index.htm,,,,,"High Ave. W., N. side of Hy-Vee Parking Lot",Oskaloosa,Mahaska,Iowa,52577,,,,,,,,,-92.6495,41.2951,,Apr 16 2010  4:38PM
1002963,Watkins Glen Farmers Market,,,,,,"Lafayette Park, 5th & Porter Sts",Watkins Glen,Schuyler,New York,,,,,,,,,,-76.8695,42.381,,2009
1002964,Alliance Farmers Market,,,,,,3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301,,,,,,,,,-102.871,42.0971,,2009
1002965,Lower East Side Girls Club FM,http://www.girlsclub.org,,,,,"La Plaza Garden, 9th St. & Avenue C",New York,Chenango,New York,,,,,,,,,,-75.6116,42.4935,,2/21/2012 16:10
1002967,Cooperstown Farmers' Market,http://www.otsego2000.org/cooperstown-farmers-market-and-agriculture/,https://www.facebook.com/CooperstownFarmersMarket,,,,"101 Main Street, Pioneer Alley",Cooperstown,Otsego,New York,13326,05/02/2015 to 08/29/2015,Tue: 12:00 PM-5:00 PM;Sat: 8:00 AM-2:00 PM;,09/05/2015 to 12/26/2015,Sat: 9:00 AM-2:00 PM;,01/02/2016 to 04/30/2016,Sat: 10:00 AM-2:00 PM;,,,-74.925057,42.700118,,4/21/2015 14:41
1002969,Cambridge Main Street Farmers' Market,http://www.cambridgemainstreet.com/index.php?page=main-street-farmers-market,https://www.facebook.com/pages/Cambridge-Farmers-Market/349629905059203?fref=ts,,,,Long Wharf Park,Cambridge,Dorchester,Maryland,21613,05/05/2016 to 10/13/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-76.072147,38.574894,,6/27/2016 13:32
1002970,Long Pine Farmers Market,,,,,,Long Pine,Long Pine,Brown,Nebraska,69217,,,,,,,,,-99.7011,42.5344,,Apr 23 2010 11:10AM
1002971,Liberty County Farmers Market,http://www.libertycountycc.com,,,,,Lion's Park Rest Stop,Chester,Liberty,Montana,59522,June to September,Thu:5:00 PM - 7:00 PM;,,,,,,,-110.9592,48.5142,Local government building grounds,4/26/2012 16:22
1002972,Liberty County Farmers Market,http://www.libertycountycc.com,,,,,Jefferson and 2nd St. W,Chester,Liberty,Montana,59522,June to September,Thu:5:00 PM - 7:00 PM;,,,,,,,-110.9691098,48.5115199,Local government building grounds,4/26/2012 16:22
1002974,Lincoln Piedmont Farmers Market,,,,,,Piedmont Shopping Center,Lincoln,Lincoln,Nebraska,68510,,,,,,,,,-96.6817,40.8069,,2009
1002975,Historic Longview Farmers Market,http://www.historiclongviewfarmersmarket.com,https://www.facebook.com/pages/Historic-Longview-Farmers-Market/159774267392817,,,,105 West Cotton Street,Longview,Gregg,Texas,75605,03/15/2014 to 11/22/2014,Sat: 7:30 PM-11:30 PM;,,,,,,,-94.7408857,32.4940998,Other,5/12/2014 13:19
1002977,Larkspur Farmers Market,,,,,,Larkspur Landing Circle,Novato,Marin,California,94949,,,,,,,,,-122.564,38.0983,,2009
1002978,Corte Madera Farmers Market,,,,,,Town Center Central Courtyard,Novato,Marin,California,94949,,,,,,,,,-122.551,38.0703,,2009
1002979,Sausalito CFM,,,,,,Bridgeway St. & Tracy St.,Sausalito,Marin,California,94949,,,,,,,,,-122.481,37.8573,,2009
1002980,Lansing Farmers Market,http://www.laramiefarmersmarket.com,,,,,29 Auburn Rd,Lansing,Tompkins,New York,14882,June to October,Sat:9:00 AM - 12:30 PM;,,,,,,,-76.5033848,42.5380668,Local government building grounds,6/4/2012 14:53
1002983,Mills Rest Ranch,,,,,,St. US Rt 42 South,Mt. Gilead,Morrow,Ohio,43338,,,,,,,,,-82.8266,40.4605,,2009
1002984,Atchison Farmers Market,http://www.atchisonfarmersmarket.com,,,,,Between 4th & 6th on Main St.,Atchison,Atchison,Kansas,66002,April to October,Wed:2:30 PM - 5:30 PM;Sat:8:00 AM - 12:00 PM;,,,,,,,-95.119747,39.560806,Other,5/1/2012 12:53
1002985,Kenton Farmers' Market,,,,,,Columbus St at N. Detroit St,Kenton,Hardin,Ohio,43326,May to September,Sat:9:00 AM - 12:00 PM;,,,,,,,-83.609734,40.64815,Closed-off public street,5/14/2012 13:33
1002986,Plowboy Produce Auction & Wholesale Farmers Market,,,,,,469 South Brace Road,Ethridge,Lawrence,Tennessee,38456,,,,,,,,,-87.3021,35.3375,,2009
1002987,Atherton Market,http://www.athertonmillandmarket.com,https://www.facebook.com/athertonmillandmarket,athertonmillmkt,,Instagram @athertonmillmkt,2104 South Boulevard,Charlotte,Mecklenburg,North Carolina,28203,,Mon: 9:00 AM-6:00 PM;Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-6:00 PM;,,,,,,,-80.86127,35.20844,,6/27/2016 13:07
1002988,Ybor City Saturday Market,http://www.ybormarket.com,,,,,1901 19th Street,Tampa,Hillsborough,Florida,33605,01/01/2013 to 12/31/2013,Sat: 9:00 AM-3:00 PM;,,,,,,,-82.4378355,27.9610894,Other,6/12/2013 10:35
1002989,Mountain City Farmers Market,,,,,,1273 S. Shady Street,Mountain City,Johnson,Tennessee,37683,,,,,,,,,-81.7998,36.4596,,2009
1002990,Pendleton Farmers Market,http://www.pendletonfarmersmarket.org,,,,,On the Village Green,Pendleton,Anderson,South Carolina,29670,,,,,,,,,-82.7816,34.6409,,Apr 27 2010  6:40PM
1002993,East Los Angeles Farmers Market,http://www.velasfarmersmarkets.org,https://www.facebook.com/pages/East-Los-Angeles-Farmers-Market/484691574934322,https://twitter.com/Vela_ELA?refsrc=email,,,4801 East 3rd Street,Los Angeles,Los Angeles,California,90022,01/01/2013 to 12/31/2013,Sat: 9:00 AM-2:00 PM;,,,,,,,-118.1609,34.03349,,3/25/2015 18:57
1002994,Durand Union Station Farmers Market,,,,,,Corner of Hagle & Main Street,Durand,Shiawassee,Michigan,48429,,,,,,,,,-83.9831,42.9108,,2009
1002996,Lincolnville Farmers' Market,http://www.lincolnvillefarmersmkt.org/,,,,,2531 U.S. Route 1,Lincolnville,Waldo,Maine,4849,,,,,,,,,-69.0086,44.2822,,2009
1002997,Troy Community Market,http://www.troyhorizons.org,,,,,418 s main,Troy,Latah,Idaho,83871,,,,,,,,,-116.769,46.7357,,May  6 2010  5:45PM
1003000,Feed Mill's Farmer's Market,,,,,,10494 Wisconsin Avenue,Hayward,Sawyer,Wisconsin,54843,May to May,Mon:12:00 PM - 4:00 PM;,,,,,,,-91.485665,46.01197,Private business parking lot,4/26/2012 13:49
1003001,Xenia Station Farmers Market,,,,,, Miami Ave.,Xenia,Greene,Ohio,45385,,,,,,,,,-83.9137,39.6643,,2009
1003002,Thibodaux Main Street Farmers Market,,,,,,314 St Mary St,Thibodaux,Lafourche,Louisiana,70301,04/01/2013 to 12/28/2013,Sat: 7:00 AM-11:00 AM;,,,,,,,-90.8244119,29.7958386,,3/30/2015 14:47
1003003,Fairfield Farmers' Market,http://www.fairfieldme.com/town/pages/farmers-market,,,,,81 Main Street,Fairfield,Somerset,Maine,4937,05/01/2015 to 05/01/2015,Wed: 2:00 AM-6:00 PM;Sat: 9:30 AM-1:30 PM;,,,,,,,-69.60011,44.58344,,3/26/2015 21:42
1003004,Brewer Farmers' Market,http://www.brewermaine.gov/community,https://www.facebook.com/ShopBrewerFarmersMarket,,,,Brewer Auditorium Parking Lot - Wilson Street,Brewer,Penobscot,Maine,4412,05/01/2015 to 05/01/2015,Mon: -1:00 AM;Tue: 8:30 AM-1:00 PM;Thu: 8:30 AM-1:00 PM;Sat: 8:30 AM-2:00 PM;,,,,,,,-68.7559,44.7877,,3/26/2015 21:39
