FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1012072,Smart Markets Huntington,http://www.smartmarkets.org,www.facebook.com/smartmarketshuntington,@smartmarkets,,,5918 North Kings Highway,Alexandria,Fairfax,Virginia,22003,04/28/2016 to 11/24/2016,Thu: 3:00 PM-7:00 PM;,,,,,,,-77.0770722,38.7894498,,6/28/2016 13:52
1012073,Smart Markets Loudon Station,http://www.smartmarkets.org,www.facebook.com/smartmarketsloudonstation,@smartmarkets,,,43805 Central Station Drive,Ashburn,Loudoun,Virginia,20147,06/19/2016 to 11/27/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-77.4863786,39.0069507,,6/28/2016 13:56
1012074,CUESA Jack London Square Farmers Market,http://www.cuesa.org,https://www.facebook.com/jacklondonsqfm/,@cuesa,,,472 Water Street,Oakland ,Alameda,California,94607,01/01/2016 to 12/31/2016,Sun: 9:00 AM-2:00 PM;,,,,,,,-122.277186,37.794714,,6/28/2016 14:07
1012076,Hood River Farmers Market,http://www.gorgegrown.com,https://www.facebook.com/HoodRiverFarmersMarket,,,,5th Street & Columbia Street,Hood River,Hood River,Oregon,OR,05/07/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-121.515814,45.710094,,6/28/2016 15:25
1012077,Natick Farmers Market,http://www.natickfarmersmarekt.com,natickfarmersmarket,,,,Common Street,Natick,Middlesex,Massachusetts,1760,01/01/2016 to 12/31/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-71.3460359,42.2829114,,6/28/2016 15:29
1012078,Mosier Farmers Market,,https://www.facebook.com/Mosier-Farmers-Market-136907079719940/,,,,1202 First Street,Mosier,Wasco,Oregon,97040,06/19/2016 to 09/25/2016,Sun: 4:00 PM-7:00 PM;,,,,,,,-121.399692,45.6832769,,6/28/2016 15:31
1012079,Coeburn Farmers Market,,,,,,Front Street and Grand Ave.,Coeburn,Wise,Virginia,24230,,Sat: 1:00 PM-4:30 PM;,,,,,,,-82.463127,36.9432199,,8/29/2016 8:34
1012080,Stoneham Farmers Market,http://Stonehamfarmersmarket.com,Stoneham Farmers Market,,,,Main St.,Stoneham,Middlesex,Massachusetts,2180,06/16/2016 to 10/13/2016,Thu: 2:30 AM-6:30 AM;,,,,,,,-71.100163,42.480311,,6/28/2016 16:00
1012081,Bangor Farmers' Market,http://www.bangorfarmersmarket.org,www.facebook.com/bangorfarmersmarket,,,,Corner of Franklin and Harlow Streets,Bangor,Penobscot,Maine,4401,05/01/2016 to 11/20/2016,Sun: 11:00 AM-2:00 PM;,,,,,,,-68.771649,44.8039587,,6/28/2016 16:09
1012082,Powers Park Farmers Market,http://www.farmtocity.org,https://www.facebook.com/FarmToCity/,,,,Almond and Ann Streets,Philadelphia ,Philadelphia,Pennsylvania,19134,05/19/2016 to 11/17/2016,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.109463,39.98254,,6/28/2016 15:57
1012083,Farmers' Market at Harvard University,http://www.dining.harvard.edu/food-literacy-project/farmers-market-harvard,https://www.facebook.com/harvardfarmersmarkets/,twitter.com/hudsinfo,,instagram.com/hudsinfo,1 Oxford St,Cambridge,Middlesex,Massachusetts,2138,06/07/2016 to 11/22/2016,Tue: 12:00 PM-6:00 PM;,,,,,,,-71.1167153,42.3764326,,6/28/2016 16:40
1012084,Texas Farmers' Market at Mueller ,http://texasfarmersmarket.org/,https://www.facebook.com/TFMMueller,https://twitter.com/TFMMueller,,https://www.instagram.com/texasfarmersmarket/,4209 Airport Blvd.,Austin ,Travis,Texas,78722,01/01/2016 to 12/31/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-97.707269,30.296618,,6/28/2016 16:44
1012085,Shelburne Farmers Market,http://SBPAVT.org/farmersmarket,,,,,Church Street,Shelburne ,Chittenden,Vermont,5482,05/28/2016 to 10/15/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-73.227644,44.378312,,6/28/2016 16:53
1012086,East Coast Indoor Farmers Market,http://www.eastcoastgardencenter.com/farmers-market.html,https://www.facebook.com/eastcoastgardencenter/,,,,30366 Cordrey Road,Millsboro ,Sussex,Delaware,19966,11/08/2016 to 04/11/2017,Tue: 12:00 PM-3:00 PM;,,,,,,,-75.2181481,38.6162124,,6/28/2016 17:14
1012087,BERLIN FARMERS MARKET,,https://www.facebook.com/Berlin-Farmers-Market-Berlin-Ct-390030617712122/,,,,,Berlin,Hartford,Connecticut,6037,06/11/2016 to 09/24/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.786014,41.643845,,6/28/2016 19:20
1012088,City of Everett Farmers Market ,http://Www.cityofeverett.com,,,,,Glendale Park Elm street,Everett,Essex,Massachusetts,2149,06/15/2016 to 10/19/2016,Wed: 12:00 PM-6:00 PM;,,,,,,,-71.04483,42.412739,,6/28/2016 19:50
1012089,SCFB UPPER UNION STREET,,,,,,WOODLAND MUNICAPAL PARKING LOT,SCHENECTADY,Schenectady,New York,12309,06/01/2016 to 10/29/2016,Sat: 9:00 AM-1:30 PM;,,,,,,,-73.905169,42.803462,,6/28/2016 20:18
1012090,Burlington Farmers Market,http://www.burlingtonfarmersmarket.org,https://www.facebook.com/Burlington-Farmers-Market-115041215180553/,,,,,Burlington ,Chittenden,Vermont,5401,05/07/2016 to 10/29/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.213445,44.476556,,6/28/2016 20:33
1012091,Brookline Farmers' Market,http://brooklinefarmersmarket.com,https://www.facebook.com/BrooklineFarmersMarket/,,,https://www.instagram.com/brooklinefarmersmarket/,Centre Street West Parking Lot,Brookline ,Norfolk,Massachusetts,2446,06/02/2016 to 11/17/2016,Thu: 1:30 PM-6:30 PM;,,,,,,,-71.123897,42.342195,,6/29/2016 7:48
1012093,Carver Farmers Market,,,,,,108 Main St.,Carver,Plymouth,Massachusetts,2330,,Sun: 12:00 PM-4:00 PM;,,,,,,,-70.769182,41.888852,,6/29/2016 8:37
1012094,Metro Denver Farmers' Market,http://www.denverfarmersmarket.com/,https://www.facebook.com/denverfarmersmarket,,,,6905 S Broadway,Littleton,Arapahoe,Colorado,80122,06/16/2016 to 10/13/2016,Thu: 10:00 AM-2:00 PM;,,,,,,,-104.989168,39.591409,,6/29/2016 9:20
1012095,Lunenburg Farmers Market,http://www.lunenburgfarmersmarket.org,https://www.facebook.com/LunenburgFarmersMarket,,,,Route 2,Lunenburg,Essex,Vermont,5906,06/01/2016 to 10/12/2016,Wed: 2:00 PM-6:00 PM;,,,,,,,-71.694717,44.462211,,6/29/2016 9:23
1012096,Town of Unicoi Farmers' Market,http://www.unicoitn.net/farmers-market,https://www.facebook.com/townofunicoitn/,,,,106 Unicoi Village Place,Unicoi,Unicoi,Tennessee,37692,06/17/2016 to 10/28/2016,Fri: 8:00 AM-1:00 PM;,,,,,,,-82.350705,36.207772,,6/29/2016 9:52
1012097,Lake Wedowee Local Produce,,https://www.facebook.com/lakewedoweelocalproduce/?ref=bookmarks,,,,17542 HWY 431,Wedowee,Randolph,Alabama,36278,06/03/2016 to 10/07/2016,Fri: 2:00 PM-6:00 PM;,,,,,,,-85.484529,33.316503,,6/29/2016 10:08
1012099,Sanford Farmers' Market - Wednesday,http://www.sanfordfarmersmarket.org/,https://www.facebook.com/SanfordFarmersMarket/,https://twitter.com/sanfrdfarmrsmkt,,,919 Main Street,Sanford Maine,York,Maine,4073,05/04/2016 to 10/26/2016,Wed: 12:00 PM-4:00 PM;,,,,,,,-70.774675,43.438742,,6/29/2016 10:29
1012100,STCC Farmers' Market,,https://www.facebook.com/pages/Springfield-Technical-Community-College/109746082384737?fref=ts,,,,One Armory Square,Springfield,Hampden,Massachusetts,1102,08/17/2016 to 10/26/2016,Wed: 12:00 PM-3:00 PM;,,,,,,,-72.579662,42.108206,,6/29/2016 10:44
1012101,DUMBO's Down to Earth Farmers Market,http://DowntoEarthMarkets.com,facebook@communitymarkets.biz,twitter.com/DowntoEarthMkts,,instagram.com/downtoearthmkts/,155 Water St,Brooklyn,Kings,New York,11201,06/08/2016 to 11/16/2016,Wed: 12:00 PM-7:00 PM;,,,,,,,-73.987717,40.703012,,6/29/2016 11:58
1012102,Attleboro Farmers Market,http://www.attleborofarmersmarket@gmail.com,,,,,201 County Street ,Attleboro ,Bristol,Massachusetts,2703,06/18/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-71.299662,41.937848,,6/29/2016 12:33
1012103,SOUTH BOSTON FARMER'S MARKET,http://sbndc.org/south-boston-farmers-market/,https://www.facebook.com/South-Boston-Farmers-Market-293116144114043/,@SBFarmersMkt_,,,446 West Broadway,South Boston,Suffolk,Massachusetts,2127,06/06/2016 to 10/31/2016,Mon: 12:00 PM-6:00 PM;,,,,,,,-71.046817,42.335985,,6/29/2016 13:10
1012105,Northeast Michigan Regional Farm Market,,,,,,815 W. Lake Street (US-23),Tawas City,Iosco,Michigan,48763,05/21/2016 to 10/29/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-83.5262372,44.2605697,,6/29/2016 14:52
1012106,Crescent City Farmers Market,http://www.crescentcityfarmersmarket.org/,https://www.facebook.com/Crescent-City-Farmers-Market-12780011170/?ref=bookmarks,https://twitter.com/ccfmtweets,,instagram: @crescentcityfarmersmkt,1235 N Peters St,New Orleans,Orleans,Louisiana,70116,01/01/2016 to 07/13/2016,Wed: 1:00 PM-5:00 PM;,10/12/2016 to 12/31/2016,Wed: 1:00 PM-5:00 PM;,,,,,-90.058542,29.960535,,6/29/2016 16:03
1012107,Farmville Community Marketplace,http://farmvilleva.com,Farmville Community Marketplace,,,,"213 North Street, ",Farmville ,Prince Edward,Virginia,23901,04/23/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-78.392913,37.304001,,7/20/2016 14:17
1012108,Lawrenceville Farmers Market,,,,,,400 N. Main Street,Lawrenceville,Brunswick,Virginia,23868,07/01/2016 to 09/30/2016,Fri: 3:00 PM-6:00 PM;,,,,,,,-77.853212,36.752006,,6/29/2016 16:33
1012110,Los Gatos Certified Farmers Market,http://cafarmersmkts.com,Los Gatos Farmers Market,@cafarmersmkts,,@cafarmersmkts,Main St & N Santa Cruz Ave,Los Gatos ,Santa Clara,California,95030,01/01/2016 to 12/31/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-121.983407,37.222242,,6/29/2016 17:17
1012113,Platte County Farmers Market,,,,,,Main Street,Wheatland,Platte,Wyoming,,,Sun: 8:00 AM-11:00 AM;,,,,,,,-104.953798,42.055953,,6/29/2016 21:20
1012115,Damariscotta Farmers Market ,http://www.damariscottafarmersmarket.org,https://www.facebook.com/damariscottafarmersmarket/,@DamaFarmerMkt ,Damariscotta Farmers Market,Instagram: @damariscottafarmers,DRA Round Top Farm and Rising Tide Co-Op ,Damariscotta,Lincoln,Maine,4543,05/13/2016 to 10/28/2016,Fri: 9:00 AM-12:00 PM;,06/01/2016 to 09/01/2016,Mon: 3:00 PM-6:00 PM;,,,,,-69.513212,44.03883,,6/30/2016 8:46
1012116,Suffolk Farmers' Market,http://www.suffolk-fun.com,https://www.facebook.com/SuffolkFarmersMarketVirginia/,,,,524 N. Main Street,Suffolk,Suffolk,Virginia,23434,04/30/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-76.58185,36.737591,,6/30/2016 9:45
1012117,Centerville Farmers Market,,https://www.facebook.com/Centerville-Farmers-Market-1239079762770121/,,,,52 Twaddell Mill Road,Centerville,New Castle,Delaware,19807,06/18/2016 to 10/15/2016,Sat: 8:30 AM-12:00 PM;,,,,,,,-75.616506,39.821415,,6/30/2016 10:14
1012118,Clintonville Farmers' Market,http://www.clintonvillefarmersmarket.org,www.facebook.com/clintonvillefarmersmarket,,,Instagram @clintonvillefarmersmarket,N High St and W Dunedin Rd,Columbus,Franklin,Ohio,43214,04/30/2016 to 11/19/2016,Sat: 9:00 AM-12:00 PM;,07/06/2016 to 09/28/2016,Wed: 4:00 PM-7:00 PM;,,,,,-83.0165751,40.0342974,,6/30/2016 12:21
1012120,North Market Farmers' Market,http://www.northmarket.com,Facebook.com/NorthMarket,@northmarket,,Instagram:    @northmarket,59 Spruce Street,Columbus,Franklin,Ohio,43213,04/16/2016 to 12/17/2016,Sat: 8:00 AM-2:00 PM;,,,,,,,-83.0041,39.971889,,6/30/2016 12:34
1012121,The Land Connection Champaign Farmers' Market,http://thelandconnection.org/market,https://www.facebook.com/TheLandConnection/,https://twitter.com/LandConnection,https://www.youtube.com/channel/UCmz-MjufoEh_fyNIfvOxzgA,https://www.instagram.com/thelandconnection/,310-330 N. Neil,Champaign,Champaign,Illinois,IL,05/03/2016 to 10/25/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,-88.243298,40.119058,,6/30/2016 12:54
1012122,Desoto Community Farmers Market,,https://www.facebook.com/DCFM62924/,,,,101 W. Main Street,Desoto,Jackson,Illinois,62924,06/07/2016 to 10/25/2016,Tue: 3:00 PM-6:00 PM;,,,,,,,-89.228629,37.816439,,6/30/2016 12:59
1012125,Lawrenceville Farmers Market,http://www.lunited.org/programs/community-planning-development/lawrenceville-farmers-market/,https://www.facebook.com/LawrencevillePGHFarmersMarket/,https://twitter.com/lvillemarket,,https://www.instagram.com/lvillefarmersmarket/,250 40th St,Pittsburgh,Allegheny,Pennsylvania,15201,06/04/2016 to 10/29/2016,Sat: 1:00 PM-4:00 PM;,,,,,,,-79.9607473,40.467448,,6/30/2016 13:16
1012126,Kenosha HarborMarket,http://kenoshaharbormarket.com,Kenosha HarborMarket ,,,,2nd Avenue between 54th and 56th Streets,Kenosha ,Kenosha,Wisconsin,53140,05/14/2016 to 10/15/2016,Sat: 9:00 AM-2:00 PM;,,,,,,,-87.813957,42.586623,,6/30/2016 13:51
1012127,Santee Community Farmers Market,,https://www.facebook.com/Santeefarmersmarket/,,,https://www.facebook.com/SanteeCommunityFoodsProject/,53142 Highway 12,Niobrara,Knox,Nebraska,68760,07/02/2016 to ,Sat: 10:00 AM-2:00 PM;,,,,,,,-97.881936,42.733001,,6/30/2016 13:44
1012128,Kenosha Winter HarborMarket ,http://kenoshaharbormarket.com,Kenosha HarborMarket ,,,,514 - 56th Street,Kenosha ,Kenosha,Wisconsin,53140,10/22/2016 to 05/06/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,-87.81806,42.585197,,6/30/2016 13:49
1012129,Arlington Farmers Market,http://www.community-foodworks.org/arlington-courthouse-market,https://www.facebook.com/ArlingtonFarmersMarket/,Twitter: @ArlFarmersMkt,,Instagram: arlfarmersmkt,1400 N. Courthouse Rd.,Arlington,Arlington,Virginia,22201,01/02/2016 to 03/26/2016,Sat: 9:00 AM-12:00 PM;,04/02/2016 to 12/17/2016,Sat: 8:00 AM-12:00 PM;,,,,,-77.084528,38.889602,,6/30/2016 14:05
1012130,WestoshaMarket ,http://WestoshaMarket.com,WestoshaMarket ,,,,30820 111th Street,Wilmot ,Kenosha,Wisconsin,53192,07/06/2016 to 09/28/2016,Wed: 2:30 PM-6:30 PM;,,,,,,,-88.179523,42.517562,,6/30/2016 14:00
1012131,Herndon Farmers Market ,http://www.fairfaxcounty.gov/parks/farmersmarkets/,,,,,777 Lynn St,Herndon,Fairfax,Virginia,20170,05/05/2016 to 11/10/2016,Thu: 8:00 AM-12:30 PM;,,,,,,,-77.3864575,38.9712122,,7/14/2016 14:55
1012132,Community Food Bank Farm Stand,http://www.communityfoodbank.org,https://www.facebook.com/SantaCruzRiverFarmersMarket/,https://twitter.com/SantaCruzRiver,,,3003 S. Country Club Rd.,Tucson,Pima,Arizona,85726,01/01/2016 to 12/31/2016,Tue: 8:00 AM-12:00 PM;,,,,,,,-110.92521,32.188882,,6/30/2016 15:36
1012133,Eighth & Enright Farmers Market @ Common Roots,,,,,,3542 W. 8th St.,Cincinnati ,Hamilton,Ohio,45205,06/04/2016 to 10/15/2016,Sat: 12:00 PM-3:00 PM;,,,,,,,-84.573114,39.106241,,6/30/2016 14:20
1012134,banning market night,,facebook.com/banningmarketnight,,,,1170 W Ramsey Street,banning,Riverside,California,92220,05/10/2016 to 10/25/2016,Tue: 6:00 PM-9:00 PM;,,,,,,,-116.889524,33.924897,,6/30/2016 14:44
1012135,Manitowoc Farmers' Market,http://www.manitowoc.org,,,,,,Manitowoc ,Manitowoc,Wisconsin,54220,05/07/2016 to 10/29/2016,Sat: 8:00 AM-2:00 PM;,06/07/2016 to 10/25/2016,Tue: 12:00 PM-6:00 PM;,,,,,-87.657155,44.091503,,6/30/2016 14:30
1012141,Milford's Riverwalk Farmers Market,http://www.downtownmilford.org/farmersmarket,www.facebook.com/RiverwalkFarmersMarket,,,,S. Walnut Street,Milford ,Sussex,Delaware,19963,05/07/2016 to 10/01/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-75.428176,38.913006,,6/30/2016 15:20
1012142,Fife Farmers Market ,http://cityoffife.org/city-departments/parks-and-recreation/special-events/farmers-market,https://www.facebook.com/fifefarmersmarket/ ,,,,2820 54th Ave E,Fife,Pierce,Washington,98424,06/03/2016 to 09/23/2016,Sat: 3:00 PM-7:00 PM;,,,,,,,-122.357014,47.230951,,6/30/2016 15:23
1012143,Rockland Farmers' Market,http://rocklandfarmersmarket.org/,facebook.com/RFM,,,Instagram @rocklandfarmersmarket,Harbor Park,Rockland,Knox,Maine,4841,05/19/2016 to 10/27/2016,Thu: 8:30 AM-1:00 PM;,,,,,,,-69.108468,44.1011505,,6/30/2016 15:46
1012144,SOUTH WHIDBEY TILTH FARMERS' MARKET,http://www.southwhidbeytilth.org/market.html,https://www.facebook.com/SouthWhidbeyTilthFarmersMarket?ref=hl,,,,2812 Thompson Road,Langley ,Island,Washington,98260,05/01/2016 to 10/16/2016,Sun: 11:00 AM-2:00 PM;,,,,,,,-122.474481,48.009171,,6/30/2016 16:04
1012145,Steilacoom Farmers' Market,http://www.townofsteilacoom.com/267/Farmers-market,https://www.facebook.com/Steilacoom-Farmers-Market-145578922125401/,,,,Lafayette and Wilkes Street,Steilacoom,Pierce,Washington,98388,,Wed: 3:00 PM-7:00 PM;,,,,,,,-122.5984882,47.1727753,,6/30/2016 16:09
1012146,Chewelah Farmers Market,http://www.chewelahfarmersmarket.com,Chewelah Farmers Market,,,,700 North Park Street,Chewelah,Stevens,Washington,99109,05/13/2016 to 10/28/2016,Fri: 11:30 AM-5:30 PM;,,,,,,,-117.715235,48.28238,,6/30/2016 16:13
1012148,Neskowin Farmers Market,http://neskowinfarmersmarket.com,https://www.facebook.com/NeskowinFarmersMarket/,,,,Neskowin Beach Wayside ,Neskowin,Tillamook,Oregon,97149,05/21/2016 to 10/01/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-123.982222,45.103228,,6/30/2016 16:39
1012149,Seattle City Hall Farmers Market featuring Pike Place Market Express,http://www.pikeplacemarket.org,,,,,600 4th Ave,Seattle,King,Washington,98104,05/31/2016 to 10/11/2016,Mon: 10:00 AM-;Tue: 10:00 AM-2:00 PM;,,,,,,,-122.330361,47.603679,,6/30/2016 16:58
1012150,Pike Place Market - Microsoft Commons Farmers Market,http://www.pikeplacemarket.org,,,,,15253 NE 40th St,Redmond,King,Washington,98052,05/31/2016 to 10/11/2016,Tue: 10:00 AM-2:00 PM;,,,,,,,-122.13733,47.644322,,6/30/2016 17:22
1012151,Pike Place Market - Evening Farmers Market,http://www.pikeplacemarket.org,,,,,1600 Pike Place,Seattle,King,Washington,98101,06/01/2016 to 10/12/2016,Wed: 5:00 PM-8:00 PM;,,,,,,,-122.341986,47.609566,,6/30/2016 17:26
1012152,Pike Place Market - South Lake Union Farmers Market,http://www.pikeplacemarket.org,,,,,410 Terry Ave N,Seattle,King,Washington,98109,06/02/2016 to 10/13/2016,Thu: 10:00 AM-2:00 PM;,,,,,,,-122.33688,47.622595,,6/30/2016 17:31
