FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1000029,Bagley Area Farmrs Market,http://www.bagleyareafarmersmarkeet.com,,,,,US Highway 2 and Getchell Avenue,Bagley,Clearwater,Minnesota,56621,July to October,Fri:4:00 pm - 6:00 pm;,,,,,,,-95.397,47.5218,Private business parking lot,4/25/2011 12:47
1000030,MainStreet Libertyville Farmers Market,http://www.libertyvillefarmersmarket.org,,,,,W Church Street,Libertyville,Lake,Illinois,60048,06/19/2014 to 10/16/2014,Thu: 7:00 AM-1:00 PM;,,,,,,,-87.955073,42.286858,Closed-off public street,3/31/2014 14:17
1000031,Open Air Farmers Market,,,,,,"Oklahoma Ave. and Benning Rd., NE",Washington,District of Columbia,District of Columbia,20020,,,,,,,,,-76.9695,38.8977,,2009
1000032,Stanton & Turner Open Air Farmers Market,,,,,,Stanton and Alabama Avenue SE,Washington,District of Columbia,District of Columbia,20020,,,,,,,,,-76.9752,38.8507,,2009
1000034,Franklin Tailgate Market,,,,,,West Palmer Street,Franklin,Macon,North Carolina,28734,,,,,,,,,-83.3916,35.1786,,2009
1000036,Northeast Farmers Market,http://www.Lakecarolina.com,,,,,Lake Carolina Town Center,Columbia,Richland,South Carolina,29229,May to October,Thu:3:00 PM - 7:00 PM;,,,,,,,-80.8965,34.1774,Other,5/2/2012 6:39
1000037,Whitewater Farmers Market,,,,,, 1415West Main St.,Whitewater,Walworth,Wisconsin,53190,04/26/2014 to 11/01/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-88.759686,42.834469,Private business parking lot,3/31/2014 20:40
1000038,Del Mar Farmers Market,,,,,,1050 Camino Del Mar,Del Mar,Tulare,California,92014,,,,,,,,,-117.264,32.9548,,2009
1000039,Downtown Farmers Market Arts & Crafts Mercado,,,,,,South Lawn of the Main Library,Tucson,Pima,Arizona,85719,,,,,,,,,-110.972,32.2235,,2009
1000040,El Presidio Mercado,,,,,,Corner of Church and Alameda,Tucson,Pima,Arizona,,,,,,,,,,-110.973,32.2239,,2009
1000041,Gaffney Station Farmers Market   Gaffney Station Farmers Market,,,,,,Corner of Frederick St. and Granard St.,Gaffney,Cherokee,South Carolina,29342,,,,,,,,,-81.648,35.0763,,2009
1000042,Inver Grove Heights Farmers Market,,,,,,Veterans Memorial Community Center parking lot,Inver Grove Heights,Dakota,Minnesota,55077,,,,,,,,,-93.064,44.8322,,2009
1000043,Schenectady County Farm Bureau Farmers Market,,https://www.facebook.com/UpperUnionStreetFarmersMarket,,,,COLDWELL &BANKERS PARKING LOT ,NISKAYUNA,Schenectady,New York,12309,05/04/2013 to 11/02/2013,Sat: 9:00 AM-1:30 PM;,,,,,,,-73.8771901,42.8056144,Private business parking lot,3/31/2014 18:09
1000044,Danville Auction,,,,,,15684 Body Rd.,Danville,Knox,Ohio,43014,,,,,,,,,-82.2445,40.4553,,2009
1000048,Fitzgerald Farmers Market,http://www.fitzgeraldga.org,,,,,227 East Pine Street,Fitzgerald,Ben Hill,Georgia,31750,January to December,Mon:10:00 AM - 4:00 PM;Tue:10:00 AM - 4:00 PM;Wed:10:00 AM - 4:00 PM;Thu:10:00 AM - 4:00 PM;Fri:10:00 AM - 4:00 PM;Sat:10:00 AM - 4:00 PM;,,,,,,,-83.2518458,31.7136472,Local government building grounds,6/4/2012 14:16
1000050,Mulberry Street Market,,https://www.facebook.com/mulberrystreetmarket,,,,500 Mulberry St,Macon,Bibb,Georgia,31201,January to December,Wed:4:00 PM - 7:00 PM;,,,,,,,-83.628616,32.838311,Local government building grounds,5/7/2012 10:36
1000051,Fairhope Outdoor Farm Market,,,,,,Corner of Bancroft Street and Magnolia Avenue,Fairhope,Baldwin,Alabama,36532,May to July,Thu:3:00 PM - 6:00 PM;,,,,,,,-87.9019749,30.5244349,Local government building grounds,5/7/2012 11:25
1000052,Hollywood Farmers' Market,http://www.seela.org,,,,,1500 Ivar Ave. & Selma Ave,Los Angeles,Los Angeles,California,90028,,Sun: 8:00 AM-1:00 PM;,,,,,,,-118.3283,34.09986,Closed-off public street,6/10/2013 15:28
1000055,New Canaan Farmers Market,http://www.newcanaanfarmersmarket.net,https://www.facebook.com/NewCanaanFarmersMarket,,,,"Old Center School parking lot, Maple Street",New Canaan,Fairfield,Connecticut,6840,05/17/2014 to 11/22/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-73.492033,41.144455,Other,3/16/2014 22:29
1000057,Bay Ridge Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,3rd Ave & 95 St.,New York,Kings,New York,11209,06/01/2013 to 11/23/2013,Sat: 8:00 AM-3:00 PM;,,,,,,,-74.032102,40.61695,Private business parking lot,7/24/2013 11:19
1000058,Fort Green Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,Washington Pk & Dekalb,New York,Kings,New York,11205,01/01/2013 to 12/31/2013,Sat: 8:00 AM-4:00 PM;,,,,,,,-73.9746,40.6921,Other,7/24/2013 11:16
1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 57 St. & 9 Ave,New York,New York,New York,10019,04/20/2013 to 12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.985839,40.768159,Other,7/24/2013 11:06
1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,01/01/2013 to 12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,-73.9757,40.7818,Other,7/24/2013 10:54
1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,01/01/2013 to 12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,,-73.95009,40.773749,Other,7/24/2013 10:50
1000063,92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,06/23/2013 to 11/24/2013,Sun: 9:00 AM-4:00 PM;,,,,,,,-73.946421,40.780931,Other,7/24/2013 10:43
1000064,97th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 97 St. & Columbus,New York,New York,New York,10025,01/01/2013 to 12/31/2013,Fri: 8:00 AM-2:00 PM;,,,,,,,-73.967012,40.79356,Other,7/24/2013 10:39
1000065,Abingdon Square Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W12 St. & 8th Ave,New York,New York,New York,10014,01/01/2013 to 12/31/2013,Sat: 8:00 AM-2:00 PM;,,,,,,,-74.00528,40.737177,Other,7/24/2013 10:36
1000066,Bowling Green Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Broadway & Battery Place,New York,New York,New York,10004,01/01/2013 to 12/31/2013,Tue: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;,,,,,,,-74.014313,40.704587,Other,7/24/2013 10:29
1000067,City Hall Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Broadway & Chambers,New York,New York,New York,10007,03/12/2013 to 12/24/2013,Tue: 8:00 AM-4:00 PM;Fri: 8:00 AM-4:00 PM;,,,,,,,-74.00631,40.713858,Other,7/24/2013 10:26
1000068,Columbia University Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Broadway - W114 & 115 Sts.,New York,New York,New York,10027,,Thu: 8:00 AM-5:00 PM;Sun: 8:00 AM-5:00 PM;,,,,,,,-73.96436,40.807345,Other,7/24/2013 10:23
1000069,Dag Hammarskjold Plaza Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E 47 St & 2 Ave,New York,New York,New York,10017,01/01/2013 to 12/31/2013,Wed: 8:00 AM-4:00 PM;,,,,,,,-73.9698797,40.7529921,Other,7/24/2013 10:20
1000070,Downtown PATH Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W Broadway - Barclay St & Park Pl,New York,New York,New York,10271,01/01/2013 to 12/31/2013,Tue: 8:00 AM-6:00 PM;,,,,,,,-74.0081736,40.7119522,Other,7/23/2013 16:00
1000071,Ft. Washington Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,168th St. & Ft. Washington,New York,New York,New York,10032,06/04/2013 to 11/26/2013,Tue: 8:00 AM-4:00 PM;,,,,,,,-73.9422685,40.8421727,Other,7/23/2013 15:57
1000072,Inwood Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Isham St - Seaman & Cooper,New York,New York,New York,10034,01/01/2013 to 12/31/2013,Sat: 8:00 AM-3:00 PM;,,,,,,,-73.919942,40.868272,Other,7/23/2013 15:53
1000073,Mount Sinai Hospital Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E99 St. - Madison & Park Aves,New York,New York,New York,10029,06/26/2013 to 11/27/2013,Wed: 8:00 AM-5:00 PM;,,,,,,,-73.952043,40.788941,Other,7/23/2013 15:50
1000075,Rockefeller Center Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Rockefeller Plaza - 50 St.,New York,New York,New York,10185,07/24/2013 to 08/30/2013,Wed: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;Fri: 8:00 AM-5:00 PM;,,,,,,,-73.98056,40.759513,Private business parking lot,7/23/2013 15:44
1000076,St. Mark's Church Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E 10 St. & 2 Av,New York,New York,New York,10003,06/04/2013 to 11/26/2013,Tue: 8:00 AM-7:00 PM;,,,,,,,-73.9868166,40.7297528,Other,7/23/2013 15:41
1000077,Stuyvesant Town Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,14th St loop & Ave A (in the Oval),New York,New York,New York,10009,04/21/2013 to 12/22/2013,Sun: 9:30 AM-4:00 PM;,,,,,,,-73.977814,40.731763,Private business parking lot,7/23/2013 15:38
1000078,Tompinks Square Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E 7 St. & Ave A,New York,New York,New York,10009,01/01/2013 to 12/31/2013,Sun: 9:00 AM-6:00 PM;,,,,,,,-73.983535,40.726056,Other,7/23/2013 15:36
1000079,Tribeca Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Greenwich & Chambers,New York,New York,New York,10007,01/01/2013 to 12/31/2013,Wed: 8:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,,,,,,,-74.010994,40.7163009,Other,7/23/2013 15:32
1000080,Tucker Square Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 66 St. & Columbus,New York,New York,New York,10023,01/01/2013 to 12/31/2013,Thu: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.981573,40.773602,Other,7/23/2013 15:25
1000081,Union Square Greenmarket,http://www.grownyc.org,https://www.facebook.com/UnionSquareGreenmarket,,,,E 17 St. & Broadway,New York,New York,New York,10003,01/01/2013 to 12/31/2013,Mon: 8:00 AM-6:00 PM;Wed: 8:00 AM-6:00 PM;Fri: 8:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;,,,,,,,-73.990409,40.737096,Other,7/24/2013 11:24
1000082,Staten Island Ferry/Whitehall Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,4 South Street (inside terminal),New York,New York,New York,10004,01/01/2013 to 12/31/2013,Tue: 8:00 AM-7:00 PM;Fri: 8:00 AM-7:00 PM;,,,,,,,-74.013648,40.701952,Other,7/23/2013 15:16
1000083,New York Botanical Garden Greenmarket,http://www.grownyc.org,https://www.facebook.com/bronxgreenmarkets,,,,Kazimiroff Blvd-Bedford Pk & Mosholu Blvd inside NYBG Mosholu Gate,Bronx,Bronx,New York,10458,06/19/2013 to 11/27/2013,Wed: 9:00 AM-3:00 PM;,,,,,,,-73.880696,40.86686,Private business parking lot,7/23/2013 15:13
1000084,Williamsburg Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,Havemeyer & Broadway,Brooklyn,Kings,New York,11211,07/11/2013 to 11/21/2013,Thu: 8:00 AM-4:00 PM;,,,,,,,-73.959382,40.70867,Other,7/23/2013 15:10
1000085,Jackson Heights Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,,34 Ave - 77 & 78 Sts,Queens,Queens,New York,11372,01/01/2013 to 12/31/2013,Sun: 8:00 AM-3:00 PM;,,,,,,,-73.889215,40.753353,Other,7/23/2013 15:07
1000086,Astoria Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,,14 St - 31 Ave & 31 Rd,Queens,Queens,New York,11106,07/10/2013 to 11/20/2013,Wed: 8:00 AM-3:00 PM;,,,,,,,-73.932452,40.767672,Other,7/23/2013 15:03
1000087,Sunnyside Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,,Skillman - 42 & 43 Sts,Queens,Queens,New York,11104,06/01/2013 to 12/21/2013,Sat: 8:00 AM-3:00 PM;,,,,,,,-73.92123,40.746899,Other,7/23/2013 15:01
1000088,Corona Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,,Roosevelt Ave & 103rd St,Queens,Queens,New York,11368,07/05/2013 to 11/22/2013,Fri: 8:00 AM-3:00 PM;,,,,,,,-73.8626778,40.7499046,Other,7/23/2013 14:58
1000089,Elmhurst Hopsital Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,,41st Ave - 80 & 81 Sts,Queens,Queens,New York,11373,06/04/2013 to 11/26/2013,Tue: 8:00 AM-4:00 PM;,,,,,,,-73.8845641,40.745901,Other,7/23/2013 14:55
1000090,Socrates Sculpture Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,,Vernon Blvd & Broadway,Queens,Queens,New York,11106,06/01/2013 to 11/23/2013,Sat: 8:00 AM-4:00 PM;,,,,,,,-73.9359467,40.7675924,Other,7/23/2013 14:53
1000093,St. George Greenmarket,http://www.grownyc.org,https://www.facebook.com/StatenIslandGreenmarkets,,,,St Marks & Hyatt St,Staten Island,Richmond,New York,10301,05/04/2013 to 05/23/2013,Sat: 8:00 AM-2:00 PM;,,,,,,,-74.0779055,40.6415918,Private business parking lot,7/23/2013 14:48
1000094,Staten Island Mall Greenmarket,http://www.grownyc.org,https://www.facebook.com/StatenIslandGreenmarkets,,,,Richmond Ave Entrance (Parking Lot),Staten Island,Richmond,New York,10314,06/15/2013 to 11/23/2013,Sat: 8:00 AM-3:00 PM;,,,,,,,-74.162908,40.603429,Private business parking lot,7/23/2013 14:47
1000095,Bronx Borough Hall Greenmarket,http://www.grownyc.org,https://www.facebook.com/bronxgreenmarkets,,,,Grand Concourse & 161 St,Bronx,Bronx,New York,10452,06/04/2013 to 11/26/2013,Tue: 8:00 AM-4:00 PM;,,,,,,,-73.922603,40.826979,Other,7/23/2013 14:44
1000096,Lincoln Hospital Greenmarket,http://www.grownyc.org,https://www.facebook.com/bronxgreenmarkets,,,,149 St & Morris,Bronx,Bronx,New York,10451,06/28/2013 to 11/22/2013,Tue: 8:00 AM-3:00 PM;Fri: 8:00 AM-3:00 PM;,,,,,,,-73.9227384,40.817388,Other,7/23/2013 14:42
1000097,Parkchester/Virginia Pk Greenmarket,http://www.grownyc.org,https://www.facebook.com/bronxgreenmarkets,,,,Westchester Ave & White Plains Rd,Bronx,Bronx,New York,10472,06/14/2013 to 11/22/2013,Fri: 8:00 AM-4:00 PM;,,,,,,,-73.8626362,40.8330521,Other,7/23/2013 14:40
1000098,Poe Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/bronxgreenmarkets,,,,Grand Concourse & 192 St,Bronx,Bronx,New York,10468,07/02/2013 to 11/19/2013,Tue: 8:00 AM-3:00 PM;,,,,,,,-73.8958435,40.86426,Other,7/23/2013 14:38
1000099,Greenpoint - McCarren Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,Union - Driggs N12th St,Brooklyn,Kings,New York,11222,01/01/2013 to 12/31/2013,Sat: 8:00 AM-3:00 PM;,,,,,,,-73.952708,40.720494,Other,7/23/2013 14:34
1000100,Brooklyn Borough Hall Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,Court & Montague,Brooklyn,Kings,New York,11201,01/01/2013 to 12/31/2013,Tue: 8:00 AM-6:00 PM;Thu: 8:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;,,,,,,,-73.9903552,40.6937227,Other,7/23/2013 14:30
1000101,Boro Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,14th Ave - 49 & 50 Sts,Brooklyn,Kings,New York,11219,07/11/2013 to 11/21/2013,Thu: 8:00 AM-3:00 PM;,,,,,,,-73.990497,40.633137,Other,7/23/2013 14:25
1000103,Cortelyou Greenmarket,,https://www.facebook.com/BrooklynGreenmarkets,,,,Cortelyou & Rugby Rds,Brooklyn,Kings,New York,11226,,Sun: 8:00 AM-4:00 PM;,,,,,,,-73.9652999,40.6408302,Other,7/24/2013 11:31
1000104,Grand Army Plaza Greenmarket,http://www.grownyc.org,https://www.facebook.com/GrandArmyPlazaGreenmarket,,,,Flatbush & Propsect Park W,Brooklyn,Kings,New York,11217,01/01/2013 to 12/31/2013,Sat: 8:00 AM-4:00 PM;,,,,,,,-73.970368,40.672631,Other,7/24/2013 11:29
1000105,Sunset Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,4th Ave - 59 & 60 Sts,Brooklyn,Kings,New York,11220,06/29/2013 to 11/16/2013,Sat: 8:00 AM-3:00 PM;,,,,,,,-74.0183554,40.6408131,Other,7/24/2013 11:33
1000107,Ely Farmers Market,,https://www.facebook.com/farmtrails,,,,1570 Rowley St.,Ely,Linn,Iowa,52227,"May 5, 2012 to Oct 6, 2012",Tue:4:00 PM - 6:30 PM;Sat:8:00 AM - 12:00 PM;,November to April,Sat:9:00 AM - 12:00 PM;,,,,,-91.58502,41.87162,Local government building grounds,5/14/2012 13:36
1000108,Ely Farmers Market,http://www.elyedge.org,,,,,1595 Dows St.,Ely,Iowa,Iowa,52227,November to March,Sat:9:00 AM - 12:00 PM;,,,,,,,-91.5858693,41.8733833,Local government building grounds,5/14/2012 13:36
1000110,Market in the Park - Ferryville,,,,,,,Ferryville,Crawford,Wisconsin,54628,,,,,,,,,-91.097,43.363,,2009
1000111,Lander Valley Farmer's Market,,,,,,1445 Main Street,Lander,Fremont,Wyoming,82520,07/16/2013 to 10/15/2013,Tue: 5:00 PM-6:30 PM;,,,,,,,-108.745862,42.841176,Educational institution,6/13/2013 0:34
1000112,Lander Valley Farmer's Market,,,,,, 685 Main Street,Lander,Fremont,Wyoming,82520,07/13/2013 to 10/12/2013,Sat: 9:00 AM-11:00 AM;,,,,,,,-108.7392146,42.8344887,Private business parking lot,6/13/2013 0:27
1000113,Tuscaloosa  County Truck Growers Association,http://www.tuscaloosafarmersmarket.com,,,,,4150 5th Street,Northport,Tuscaloosa,Alabama,35476,May to December,Tue:6:00 AM - 12:00 PM;Sat:6:00 AM - 12:00 PM;,April to April,Sat:6:00 AM - 12:00 PM;,,,,,-87.591044,33.219446,Other,4/27/2012 18:26
1000114,Meadville Farmers Market,,,,,,910 Market Street,Meadville,Crawford,Pennsylvania,16335,,,,,,,,,-80.1534,41.6387,,2009
1000115,Cedar County Farmers Market,,,,,,South of Courthouse on 4th Street,Tipton,Cedar,Iowa,52772,,,,,,,,,-91.1361,41.7647,,2009
1000116,White's Creek Organic Farmers Market,,,,,,Loacated at Earhman's General Store,Whites Creek,Davidson,Tennessee,37189,,,,,,,,,-86.7169,36.3367,,2009
1000117,Madison Farm to Fork Farmers Market,http://www.madisonfarmtofork.com,,,,,118 Williams Street,Ennis,Madison,Montana,59729,June to September,Sat:9:00 AM - 12:00 PM;,,,,,,,-111.731129,45.34925,Private business parking lot,5/9/2012 17:37
1000118,Hollywood Farmers Market,http://www.hollywoodfarmersmarket.org/,https://www.facebook.com/pages/Hollywood-Farmers-Market-Portland-Oregon/109794929043411,,,,NE Hancock between 44th & 45th Avenue,Portland,Multnomah,Oregon,97213,04/04/2015 to 09/26/2015,Sat: 8:00 AM-1:00 PM;,10/03/2015 to 03/26/2016,Sat: 9:00 AM-1:00 PM;,,,,,-122.6174,45.53642,,3/19/2015 14:30
1000119,Lloyd Farmers Market,http://www.lloydfarmersmkt.net/,,,,,800 NE Holladay St,Portland,Multnomah,Oregon,97232,01/08/2013 to 12/17/2013,Tue: 10:00 AM-2:00 PM;,,,,,,,-122.6573,45.52967,Other,6/24/2013 13:53
1000120,Main Street Marketplace,,,,,,Corner of Hampton Street & Main Street,Columbia,Richland,South Carolina,29201,,,,,,,,,-81.0357,34.0054,,Apr 16 2010  9:49AM
1000121,Heritage Commons Farmers Market,http://www.iatp.org/minimarkets,,,,,350 Van White Memorial Blvd,Minneapolis,Hennepin,Minnesota,55405,July to September,Wed:10:00 AM - 1:00 PM;,,,,,,,-93.293452,44.981329,Local government building grounds,5/11/2012 14:43
1000122,Camden Farmers Market,http://www.iatp.org/minimarkets,,,,,4400 Osseo Rd,Minneapolis,Hennepin,Minnesota,55412,July to October,Thu:3:00 PM - 7:00 PM;,,,,,,,-93.309374,45.035867,Private business parking lot,5/11/2012 14:53
1000123,St. Olaf Community Campus Farmers Market,http://www.iatp.org/minimarkets,,,,,2901 Emerson Ave S,Minneapolis,Hennepin,Minnesota,55411,July to September,Wed:4:00 PM - 7:00 PM;,,,,,,,-93.294718,44.950616,"Faith-based institution (e.g., church, mosque, synagogue, temple)",5/11/2012 15:03
1000125,Winter Farmers Market at Circa Restaurant,http://www.circarestaurant.net,,,,,76 Albany Street,Cazenovia,Madison,New York,13035,,,,,,,,,-75.8532,42.9296,,2011
